Color,Size,City,Price,Purchased
Black,M,Chennai,2617,Yes
Green,XL,Bangalore,1928,No
Green,XL,Kolkata,888,Yes
Red,M,Delhi,3439,No
Green,S,Chennai,3440,Yes
Blue,M,Kolkata,4759,Yes
Blue,S,Hyderabad,4503,No
Blue,M,Chennai,2474,No
White,S,Hyderabad,4811,No
Blue,M,Delhi,2789,No
Blue,M,Delhi,4150,Yes
White,L,Bangalore,2042,No
Black,L,Delhi,1021,Yes
Blue,M,Delhi,3762,Yes
Green,M,Mumbai,2693,No
Blue,S,Kolkata,4225,No
Blue,M,Bangalore,1306,No
Green,M,Delhi,3436,Yes
White,XL,Delhi,2139,Yes
Blue,M,Mumbai,913,Yes
